1988,"Souza, Maria da Paixao Neres de"
1988,"Coutinho, Eliana"
1988,"Muniz, Jose Norberto"
1988,"Meneghini, Rogerio"
1989,"Amaral, Vera Lucia Raposo Adami do"
1989,"Fernandes, Luzia Sigole"
1989,"Kremer, Jeannette Marguerite"
1989,"Martins, Adriana Rinaldi"
1989,"Pegoraro, Silvene"
1989,"Ruzza, Regina Celia Pisanelli de"
1989,"Terzis, Antonios I."
1989,"Cunha, Vera C."
1989,"Guzzo, Raquel Souza Lobo"
1989,"Machado-da-Silva, Clovis L."
1989,"Witter, Geraldina Porto"
1989,"Lima, Clovis Ricardo Montenegro de"
1989,"Alencar, Maria de Cleofas Faggion"
1989,"Amboni, Nerio"
1990,"Spagnolo, F."
1990,"Fonseca, Lucia"
1990,"Silva, Edna Lucia da"
1991,"Mamfrim, Flavia Pereira Braga"
1991,"Pittella, Monica Cardoso"
1991,"Mueller, Suzana Pinheiro Machado"
1992,"Almeida, Hiram Larangeira de Junior"
1992,"Aragao, Esmeralda Maria de"
1992,"Gameiro, M. A."
1992,"Lautre, Evelyne"
1992,"Prazeres, Yara Maria Pereira da Costa"
1992,"Domene, Semirames Martins Alvares"
1992,"Dorea, Jose Garrofe"
1992,"Oliveira, Admar Costa de"
1992,"Chiara, Ivonne Guerreiro di"
1993,"Cruz, E. R."
1993,"Lima, Maria Fatima Bezerra Ferreira"
1993,"Maranon, E. I. M."
1993,"Quirino, T. R."
1993,"Souza, Geraldo da Silva E."
1993,"Dietrich, Carl P."
1993,"Mostafa, Solange Puntel"
1994,"Keinert, Tania Margarete Mezzomo"
1994,"Oliveira, Maria Jose de"
1994,"Pecora, Glaucia Maria Mollo"
1994,"Freitas, Maria Helena de Almeida"
1994,"Bertero, Carlos Osmar"
1994,"Guedes, Vania Lisboa da Silveira"
1995,"Araujo, Walkiria Toledo de"
1995,"Baldit, P."
1995,"Carvalho Junior, Dourival de S."
1995,"Dou, H."
1995,"Faucompre, P."
1995,"Franca, Geovania Fernandes de"
1995,"Marinho, Vanildo Mousinho"
1995,"Neves, Teodora Marly Gama das"
1995,"Vergara, Sylvia Constant"
1995,"Quoniam, Luc"
1995,"Santos, Raimundo Nonato Macedo dos"
1996,"Amaral, Sueli Angelica do"
1996,"Baretta, A."
1996,"Curras, Emilia"
1996,"Freitas, Francinete Maria de A."
1996,"Loigerot, J."
1996,"Mansfi, Cristina Valente"
1996,"Nunes, Claudio Omar Iahnke"
1996,"Pena, Maria das Gracas da S."
1996,"Pontello, Analia das Gracas Gantini"
1996,"Vargas, Lilia Maria"
1996,"Rumjanek, Vivian M."
1996,"Coelho, Paulo Marcos Zech"
1996,"Costa, H. M. A."
1996,"Linardi, P. M."
1996,"Meis, Leopoldo de"
1996,"Mello, Paula Maria Abrantes Cotta de"
1996,"Dias, Eduardo Wense"
1996,"Dornelas, Jairo Simiao"
1996,"Leta, Jacqueline"
1997,"Coelho, Gilda Massari"
1997,"Fernandes, L. R. R. M. V."
1997,"Fernandes, Lucia Regina"
1997,"Ramos, Celia Leitao"
1997,"Velloso, Sancia"
1997,"Saliba, Carolina Angelica Barbosa"
1997,"Vilarino, Elizabeth Goncalves"
1997,"Vianna, Marcia Milton"
1997,"Lellis, Vera Lucia Maia"
1997,"Viacava, Francisco"
1997,"Pinto, Marli Dias de Souza"
1997,"Olinto, Gilda"
1997,"Wofchuk, Susana T."
1997,"Lima, Marcia Heloisa Tavares de Figueredo"
1997,"Silveira, Amelia"
1997,"Silva, Cicera Henrique da"
1998,"Camargo, Maria Valeria G. Pompeo de"
1998,"Kondo, Edson Kenji"
1998,"Macias-Chapula, Cesar Augusto"
1998,"Prat, A. M."
1998,"Rousseau, Ronald"
1998,"Spinak, Ernesto"
1998,"Wormell, Irene"
1998,"Rodrigues, P. dos Santos"
1998,"Jannuzzi, Paulo de Martino"
1998,"Lannes, Denise"
1998,"Caldas, Miguel Pinto"
1998,"Hoppen, Norberto"
1998,"Miranda, Antonio Lisboa Carvalho de"
1998,"Azzoni, Carlos Roberto"
1998,"Friedrich, Margarete Pereira"
1998,"Vieira, Francisco Giovanni David"
1998,"Cunha, Murilo Bastos da"
1998,"Araujo, Saulo de Freitas"
1998,"Oliveira, Mirian"
1998,"Wood Junior, Thomaz"
1998,"Gregolin, Jose Angelo Rodrigues"
1998,"Faria, Leandro Innocentini Lopes de"
1998,"Trzesniak, Piotr"
1999,"Alves, Eliseu"
1999,"Andrade, Jailson B. de"
1999,"Bertollo, S. A. M."
1999,"Carastan, Jacira Tudora"
1999,"Elkis, Helio"
1999,"Fernandes, Geni Chaves"
1999,"Goldstein, Lucila L."
1999,"Martins, Maria Amalia Gusmao"
1999,"Nunes, E. D."
1999,"Pagliarussi, M. S."
1999,"Rasche, Francisca"
1999,"Souza, Carina Cavalcanti de"
1999,"Escuder, Maria Mercedes Loureiro"
1999,"Souza, Francisco das Chagas de"
1999,"Figueira, Ivan"
1999,"Pereira, Julio Cesar Rodrigues"
1999,"Coimbra Junior, Carlos E. A."
1999,"Sakata, Marici Cristine Gramacho"
1999,"Pinto, Angelo C."
1999,"Yamamoto, Maria Emilia"
1999,"Yamamoto, Oswaldo Hajime"
1999,"Avila, Antonio Flavio Dias"
1999,"Oprime, Pedro Carlos"
1999,"Riccio, Edson Luiz"
1999,"Hoffmann, Wanda Aparecida Machado"
2000,"Abud, Adriana Salatini"
2000,"Adams, Cristina"
2000,"Aguila, Nelci Ramos"
2000,"Albuquerque, Cicero Piva de"
2000,"Andrade, Diva Carraro de"
2000,"Araujo Ruiz, Juan Antonio"
2000,"Araujo, Isabela Mateus de"
2000,"Baffa Filho, Osvaldo"
2000,"Beber, Sedinei Jose Nardelli"
2000,"Capparelli, Sergio"
2000,"Carvalho, Juliana Bonetti de"
2000,"Cavalcanti, Ilce Goncalves Milet"
2000,"Cormack, Elson Fontes"
2000,"Eleuterio, Sonia Garcia Gomes"
2000,"Fantin, Vanda Maria Silveira dos Reis"
2000,"Fernandez, Guilherme Rodrigues"
2000,"Ferreira, Carlos Alberto"
2000,"Kirihata, Julia Hisae Tokuno"
2000,"Mansur, Alfredo Jose"
2000,"Martinez, Priscila Amorim"
2000,"Mendonca, Ercilia Severina"
2000,"Mestriner, Maria Adelaide Alves"
2000,"Montes, G. S."
2000,"Passos, Edilenice J. L."
2000,"Pereira, Jose Eduardo do Grado Cordeiro"
2000,"Pratti, Sueli C."
2000,"Ribeiro, Rodrigo Bastos Cobra"
2000,"Rosario, Judite dos Santos"
2000,"Santos, Cristiane Batista dos"
2000,"Santos, Maria Tereza Magalhaes"
2000,"Silva Filho, Cleber Ferreira da"
2000,"Silveira, Celoi Lopes da"
2000,"Sombrio, Marcia Luiza Lonzetti Nunes"
2000,"Taruhn, Rosane"
2000,"Tombolato, E."
2000,"Torricella Morales, Raul G."
2000,"Trez, Guilherme"
2000,"Van Hooydonk, Guido"
2000,"Pinto, Mario Couto Soares"
2000,"Silva, Jose Aparecido da"
2000,"Barboza, Andreia"
2000,"Santos, Marilda Correa Leite dos"
2000,"Antunes, Margaret Alves"
2000,"Prado, Noemia Schoffen"
2000,"Chaimovich, Hernan"
2000,"Campos, Maria Ligia"
2000,"Sampaio, Claudio Hoffmann"
2000,"Ohira, Maria Lourdes Blatt"
2000,"Oliveira, Erica Beatriz Pinto Moreschi de"
2000,"Ferreira, Sueli Mara Soares Pinto"
2000,"Luce, Fernando Bins"
2000,"Nascimento, Maria de Jesus"
2000,"Perin, Marcelo Gattermann"
2000,"Silva, Angelina Pereira da"
2000,"Coito, Maria Irani"
2000,"Vanti, Nadia Aurora Peres"
2000,"Fischer, Andre Luiz"
2000,"Froemming, Lurdes Marlene Seide"
2000,"Gomez, Maria Nelida Gonzalez de"
2000,"Stumpf, Ida Regina Chitto"
2000,"Bufrem, Leilah Santiago"
2000,"Kroeff, Marcia Silveira"
2000,"Suaiden, Emir Jose"
2001,"Augusto, Cesar"
2001,"Bianchi, Maria de Lourdes Pires"
2001,"Botelho, Delane"
2001,"Castro, Monica Maria Machado Ribeiro Nunes de"
2001,"Cosac, Silvana"
2001,"Gomes, Sonia Pedrozo"
2001,"Lourenco, Ricardo"
2001,"Macera, Andrea"
2001,"Nunes, Maria Lucia Tiellet"
2001,"Santos, Maria Aparecida de Lourdes Castro"
2001,"Santos, Neusa F. dos"
2001,"Silva Junior, Orlando de Castro"
2001,"Tarapanoff, Kira"
2001,"Teixiera, Rita Petrarca"
2001,"Bignetti, Luiz Paulo"
2001,"Jacques, Raphael"
2001,"Paiva, Ely Laureano"
2001,"Pecegueiro, Claudia Maria Pinho de Abreu"
2001,"Goldenberg, Saul"
2001,"Oyadomari, Jose Carlos Tiomatsu"
2001,"Guimaraes, Reinaldo"
2001,"Mendonca Neto, Octavio Ribeiro de"
2001,"Cardoso, Ricardo Lopes"
2001,"Galina, Simone Vasconcelos Ribeiro"
2001,"Pacheco, Roberto Carlos dos Santos"
2001,"Araujo Junior, Rogerio Henrique de"
2001,"Marteleto, Regina Maria"
2001,"Penteado Filho, Roberto de Camargo"
2001,"Alvares, Lillian Maria Araujo de Rezende"
2001,"Kern, Vinicius Medina"
2001,"Oliveira, Marlene"
2002,"Albuquerque, Eduardo da Motta e"
2002,"Albuquerque, Maria Elizabeth Baltar Carneiro de"
2002,"Alcoforado, Elidomar da Silva"
2002,"Almeida, Cloyra de Paiva"
2002,"Baessa, Adriano"
2002,"Bicas, Harley E. A."
2002,"Borges, Paulo Cesar Rodrigues"
2002,"Bueno, Jose Lino de Oliveira"
2002,"Bussato Filho, Geraldo"
2002,"Campolina, Bernardo"
2002,"Castro, Cesar Augusto"
2002,"Cheniaux Junior, Elie"
2002,"Cordeiro, Adriana Tenorio"
2002,"Cunha, Luciana Schmidt da"
2002,"Duarte, Carlos Edson"
2002,"Guedes, Maria do Carmo"
2002,"Itokazu, Fabiana Midori"
2002,"Kater, Claudio E."
2002,"Koller, Silvia Helena"
2002,"Kuramoto, Helio"
2002,"Lacombe, Beatriz Maria Braga"
2002,"Lima, Maria das Gracas Ferreira de"
2002,"Lobianco, Anna Carolina"
2002,"Ludmer, Gilson"
2002,"Luz, Graca Maria Simoes"
2002,"Menandro, Paulo Rogerio Meira"
2002,"Mendes, Isabel Amelia Costa"
2002,"Montero, Edna Frasson de Souza"
2002,"Moraes, Patricia Regina V. de A."
2002,"Moreira, Marcia Bento"
2002,"Oliveira, Sonia Maria Marques de"
2002,"Ornelas, Rosangela Visoni Azanha de"
2002,"Ortiz, Wilson Aires"
2002,"Paiva, Fernando Gomes de Junior"
2002,"Pucci, Luciana Chmelik"
2002,"Romaro, Rita Aparecida"
2002,"Santana, Shirley"
2002,"Silva, Leandro"
2002,"Silva, Sandra Valeria da"
2002,"Simoes, Rodrigo"
2002,"Sousa, Rafael Lopes"
2002,"Terra, Marisa Costa"
2002,"Vieira, Job L. G."
2002,"Weltman, Wanda Latmann"
2002,"Juanes, Ivone A. Soares"
2002,"Kiyotani, Normanda Miranda"
2002,"Maximo, Luis Fernando"
2002,"Canongia, Claudia"
2002,"Hutz, Claudio Simon"
2002,"Kurihara, Maria Helena"
2002,"Paula, Tania Maria Bueno de"
2002,"Pereira, Maria de Nazare F."
2002,"Rodrigues Filho, Jose"
2002,"Silva, Sergio Luis da"
2002,"Oliveira, Marcelle Colares de"
2002,"Ortiz, Lucia Cunha"
2002,"Martins, Gilberto de Andrade"
2002,"Marziale, Maria Helena Palucci"
2002,"Rother, Edna Terezinha"
2002,"Braga, Maria Elisa Rangel"
2002,"Pellizzon, Rosely de Fatima"
2002,"Moya Anegon, Felix de"
2002,"Tonelli, Maria Jose"
2002,"Herrero Solana, Victor"
2002,"Antunes, Adelaide Maria de Souza"
2002,"Autran, Marynice de Medeiros Matos"
2002,"Zanotto, Edgar Dutra"
2002,"Amaral, Roniberto Morato do"
2002,"Mugnaini, Rogerio"
2002,"Silva, Fabio Mascarenhas e"
2002,"Vanz, Samile Andrea de Souza"
2003,"Alcadipani, Rafael"
2003,"Alguacil, Joan"
2003,"Alves, Maria Regina Macedo"
2003,"Amerio, Adrian"
2003,"Antunes, Carlos M. F."
2003,"Arkader, Rebecca"
2003,"Barroso, Wanise B. G."
2003,"Bastos, Antonio Virgilio Bittencourt"
2003,"Berberian, Ana Paula"
2003,"Bohn, Maria del Carmen"
2003,"Braga, Beatriz Maria"
2003,"Brito, Luiz Artur Ledur"
2003,"Bustos Arganaraz, Eugenia"
2003,"Campos, Mauro"
2003,"Cardoso, Gilberto Perez"
2003,"Centeno Sosa, Alicia"
2003,"Chu, Rebeca Alves"
2003,"Copete, Jose L."
2003,"Coringrato, Marcela"
2003,"Correia, Christiane"
2003,"Coura, Jose Rodrigues"
2003,"Dachs, J. Norberto W."
2003,"Davel, Eduardo"
2003,"Ferreira, Sergio Henrique"
2003,"Fracasso, Edi Madalena"
2003,"Francisco, Lourdes Terezinha dos Santos Tome"
2003,"Giunti, Graciela M."
2003,"Gomez, Sonia Pedroza"
2003,"Jesus, Silvana Maria de"
2003,"Kawachi, Ichiro"
2003,"Kroon, Erna G."
2003,"Lewison, G."
2003,"Loiola, Elizabeth"
2003,"Moriki, Adriana Mayumi Nakamura"
2003,"Murillo, Janeth"
2003,"Nazario, Vanderlei Mauricio"
2003,"Oliveira, Jefferson de"
2003,"Oliveira, Tatiana Fiorentin de"
2003,"Parada, Alejandro E."
2003,"Passos, Izabel Christina Friche"
2003,"Pinto, Virginia Bentes"
2003,"Queiroz, Nirlange Pessoa de"
2003,"Rapela, Maria Virginia"
2003,"Rezende, Sergio Machado"
2003,"Romanos de Tiratel, Susana"
2003,"Rosa, Liliana de Oliveira G."
2003,"Santos, Vanda Ferreira dos"
2003,"Seadi, Camila Farina"
2003,"Soluri, Aline Feldman"
2003,"Sousa Lima, M. C."
2003,"Viotti, Eduardo B."
