1980," Quemel, Maria Angelica Rodrigues"," Pasquarelli, Maria Luiza Rigo"," Carvalho, Neide de"," Pedreira, Rosa Edite Lemos Alves", ,,,,,,,,,,,,,,,,,
1981," Aires, Jorge"," Morel, Carlos Medicis", ,,,,,,,,,,,,,,,,,,,
1981," Buchmann, Margarida Cecilia Schmidt"," Oliveira, Zita Catarinn Prates de"," Rech, Carlos Ernesto", ,,,,,,,,,,,,,,,,,,
1981," Campos, Carlita Maria"," Carvalho, Maria Martha de", ,,,,,,,,,,,,,,,,,,,
1981," Carvalho, Felisbela Liberato de Matos", ,,,,,,,,,,,,,,,,,,,,
1981," Ferrez, Helena Dodd", ,,,,,,,,,,,,,,,,,,,,
1981," Peixoto, M. F. V.", ,,,,,,,,,,,,,,,,,,,,
1981," Rangel, Maria Elisa"," Taparelli, Maria Emilia F. G."," Castro, Regina Celia Figueiredo"," Nowinski, Aron", ,,,,,,,,,,,,,,,,,
1981," Silva, Maria da Graca Miranda da", ,,,,,,,,,,,,,,,,,,,,
1982," Andrade, Maria Teresinha Dias de"," Noronha, Daisy Pires"," Camargo, Leda C. P. de Campos", ,,,,,,,,,,,,,,,,,,
1982," Ferreira, Delia Valerio"," Fernandez, Rosali Pacheco", ,,,,,,,,,,,,,,,,,,,
1982," Oberhofer, Cecilia Malizia Alves", ,,,,,,,,,,,,,,,,,,,,
1982," Oliveira, Silas Marques de", ,,,,,,,,,,,,,,,,,,,,
1982," Pacomio, Maria Teresa Amorim", ,,,,,,,,,,,,,,,,,,,,
1982," Pinto, Aloisio de Arruda", ,,,,,,,,,,,,,,,,,,,,
1982," Robredo, Jaime", ,,,,,,,,,,,,,,,,,,,,
1982," Rodrigues, Maria de Paz Lins", ,,,,,,,,,,,,,,,,,,,,
1983," Alvarenga, Lidia"," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,
1983," Gervasi, Manfredo"," Souza, Roberto Castelo Branco Coelho de", ,,,,,,,,,,,,,,,,,,,
1983," Mayrink, Paulo Tarcisio", ,,,,,,,,,,,,,,,,,,,,
1983," Motta, Dilza Fonseca da", ,,,,,,,,,,,,,,,,,,,,
1983," Oliveira, Silas Marques de", ,,,,,,,,,,,,,,,,,,,,
1983," Pinheiro, Lena Vania Ribeiro", ,,,,,,,,,,,,,,,,,,,,
1983," Urbizagastegui-Alvarado, Ruben", ,,,,,,,,,,,,,,,,,,,,
1984," Brito, Edna Maria Torreao"," Souza, Sebastiao de"," Ramalho, Wilza da Costa", ,,,,,,,,,,,,,,,,,,
1984," Lima, Regina Celia Montenegro de", ,,,,,,,,,,,,,,,,,,,,
